id/s,review_count/n,categories/s,rating/n
AKHA6ZU8uM3vmLwH2hqH_A,213,American,4.5
jvPYm9rYK-5ddnjU30Oz4Q,212,Indian,4.5
AtUxlW7ltZb73ZXMwpkY_g,212,Japanese,4.5
6Pa3-9piblDJu0l8u84Jhg,211,Mexican,4.5
rHp_v8fU82U93hYPj3L_3A,211,Mexican,4.5
rZIMlQ76I0mXL8uNii_wVg,207,American,4.5
hXqf7aEgI4feEzHDpNXHLQ,207,Japanese,4.5
GticI2JB8Iw2ktRfLv6aRQ,206,American,4.5
kt77PF-PfvsY5aGv0UGeNA,206,American,4.5
mNS4lJ66nND2cRoxF9aP3Q,206,Mexican,4.5
u9xVzV1OZC5pwtUgaHLM-A,205,Japanese,4.5
YMh3vH--fzLqiOAyL_3T5w,205,Japanese,4.5
_z2_1TE_1brlvljiGtJ4mA,203,Indian,4.5
6NcU2JAznLr9dDHp6GgQyw,202,Indian,4.5
zi4fUgOwwGB5PYR2xq0OCQ,198,Indian,4.5
wUu9WcGjP8KS6KlpARChyQ,196,Japanese,4.5
w7iv-eE7jCNKV9EBmRdkVw,193,American,4.5
KxyH5zvTyXawl17lHjA4SQ,191,Indian,4.5
ZqOxAKVZEZTa4XS4zthp3Q,191,Indian,4.5
mc9lvusD4Na-KXT2z4ulzQ,189,Indian,4.5
N7pDKAFOR1F_oCVH_Fc7Wg,188,Indian,4.5
pBNMZp_tKCAfRNx7-ybcHQ,187,Chinese,4.5
NKI1VvfXYluRjnq4S6yEuw,186,Indian,4.5
RYoc4EBUNOtgbg7c32OG9A,185,Chinese,4.5
XKDHsS8PevoEdFLNtt05FA,184,Japanese,4.5
WHXgDm3kcU-aONfjR8tX0A,183,Japanese,4.5
CaizM2WaGPX5eRLDOJaqIw,182,Chinese,4.5
a7rM-AOM7_xi8AlWX-Thkg,182,Japanese,4.5
r6r-XK_wL02FQdAgaauTxg,182,Japanese,4.5
nw5_0jb_u2a6nUt4Je09Xg,181,American,4.5
PRQyJoum--REZ-yeEidyBg,181,Japanese,4.5
kEC66zgpguVsizQeCAJoCg,180,American,4.5
CO3lm5309asRY7XG5eXNgg,179,Indian,4.5
kN3rkbjvqkY62CDRYUVz4g,179,Japanese,4.5
TsXW4R8y8y715TMKmlUDAQ,179,Japanese,4.5
zSAbFi6e9WTtnAzhD5infg,178,Indian,4.5
vpWPgusmUD0cYNKf0uEQIw,172,Mexican,4.5
A-ert0jDRBfku9ogyW_mEg,169,Indian,4.5
hXqrA_Z3jZ8Q1O6ZehWSwQ,166,Indian,4.5
1thBGawoqRUHqCfQMZycYQ,165,Indian,4.5
6YsCjSkCoUJ6rVDJe04Yuw,164,Indian,4.5
cLxp5gIPWIhmvpmdPo7BsA,164,Japanese,4.5
xhWqjDuoORYBVgZVc4uK3g,162,Indian,4.5
I4FWrwXDC91lsfQLXYSeXA,161,Chinese,4.5
iigqtLntqUS18cXmEXofIQ,159,American,4.5
uYLIo8FCr9Ug5SFORDdsPA,158,American,4.5
o5EIqc4LekAoeLHiYjzLqQ,158,Japanese,4.5
lcI9kOcRqxxMhM4b5pHqsg,157,American,4.5
xI0H0K1MAq1U6NTp1xFreA,156,American,4.5
yV7brOiTLS3Lmwws8e3nXA,156,Indian,4.5
diz6_4TVSP6EdWEZCZ0Acg,155,Japanese,4.5
k6mrFyNzpC5QaNfhwXl8AQ,155,Mexican,4.5
lwdQoALcv8OguKwUahqhZg,155,Mexican,4.5
QJ1o9d1PVEE676rbzRUNjA,155,Mexican,4.5
X3ToKHjzofO8EzfiHYewWg,152,American,4.5
eTe0fY7PUIKuxgSdxgkD_A,152,Indian,4.5
H26qMBb0OFNn2xmSTM1Phw,151,American,4.5
Dw0D3560Yt3pQtdm74gGeQ,150,Indian,4.5
ePqKbqXFBCbwBaWiN2Jo9w,148,American,4.5
kortq9GFNGvV4ky_rVf88g,147,American,4.5
fKmvZZDSyBE5cfHwybPc_g,147,Mexican,4.5
ZBrYU1OA8jT1wfPsH6UwYQ,145,American,4.5
Uv13OfDr0fm5Jk2Dk4uFvQ,144,American,4.5
eht_0com4C1sQbl9qCzlag,144,Indian,4.5
PEEw2ip9VrmiMBP4b6op_g,144,Indian,4.5
O1fUmxt3kbV-rnyjBtzAfw,143,Chinese,4.5
15svH3HiVDwHMSIlRYpk6A,143,Indian,4.5
NKDLr_aBy5WRX8-JR_SGyQ,140,Mexican,4.5
5MpWHGQ6Qc-M4q1KL_nioA,139,American,4.5
vgG8hgJbPLKfx-n9TYqCDw,139,Chinese,4.5
HnTcWZbZJzNAYO8YseQlSQ,138,Chinese,4.5
xTWpl9DgIkkr5B8h8_xUpA,137,American,4.5
QaEqD7q2GtmlovBOPC6yIQ,137,Japanese,4.5
PBowYD8-vzqbv4yx0TilVg,136,Japanese,4.5
UF9F0A4e7AJHzNPG5zrHUQ,135,American,4.5
ihplCj2HKWR7z-bBKf8Nzw,134,American,4.5
gaPvARbMRDrJtbiLUjsKVQ,133,Mexican,4.5
ipmOYDh9snm3ZUv546MACQ,133,Mexican,4.5
i-s1bcKdqQdm6JiVN0JRMA,132,Japanese,4.5
6xCZHAr7yj_vWwRJalAEOg,131,Indian,4.5
5YV3zSR18X4Ja6d-TOEtyA,129,American,4.5
qCf1QN11Qdncpqb7PhuyVw,129,American,4.5
GlZKE1IrwfezpV_ZCvQWZA,126,Japanese,4.5
Orbsfc3nI21mQ8cwSPahhg,125,American,4.5
L9n68f-cdk7RMQvRJvC6bA,124,Indian,4.5
texbRCTWEMkK3aoLMIAGhA,124,Indian,4.5
6KOeVK9KMmVG6Q3chyZ_Bg,123,Indian,4.5
urqTHFOSHtjrHOe_fmMLuQ,123,Mexican,4.5
9-vKFnUby_6-pR6UJxjzMw,122,Chinese,4.5
NiFmuqLM-apdMX_jBPVIgw,122,Japanese,4.5
22CRLIEfJWIO-8RjEiecAg,121,Japanese,4.5
DPOWubhvyzYGjLbVvbr_sg,120,Chinese,4.5
9heTBCW1DDAKyO0GrY3Nxw,120,Indian,4.5
hdBhZcdZGHkTESrldAObJg,120,Mexican,4.5
qey4HXKGJTlhAcN5ZbEdZQ,119,American,4.5
YvSCXoj-z1eS2soiXQSIFQ,119,American,4.5
jkl1ukPtVM2UZqMLSJdWFw,117,American,4.5
k6C1yxzWz07p6AYAV5pgDQ,116,Indian,4.5
Na55QhymZh3cje8Ac2vCvg,116,Indian,4.5
8vYGvXF4OyKv2KV0-iIxrA,115,Indian,4.5
NK9-IcDFT0aCr6a33WuuMA,115,Japanese,4.5
pepM7-yv4-jCT6S1nl6fPg,114,Chinese,4.5
kvpSqh3q7r3HK3Tw-wXGEQ,114,Japanese,4.5
ayxVEXD_reV3BEaKFAQQ4A,113,American,4.5
